Altitude,Timestamp
345,"Thu Jun  5 23:52:28 2025"
672.5,"Thu Jun  5 23:52:28 2025"
453.5,"Thu Jun  5 23:52:28 2025"
454,"Thu Jun  5 23:52:28 2025"
485,"Thu Jun  5 23:52:28 2025"
613,"Thu Jun  5 23:52:28 2025"
549.7,"Thu Jun  5 23:52:28 2025"
571.54,"Thu Jun  5 23:52:28 2025"
643.848,"Thu Jun  5 23:52:28 2025"
502.418,"Thu Jun  5 23:52:28 2025"
542.501,"Thu Jun  5 23:52:28 2025"
452.261,"Thu Jun  5 23:52:28 2025"
432.606,"Thu Jun  5 23:52:28 2025"
452.557,"Thu Jun  5 23:52:28 2025"
575.985,"Thu Jun  5 23:52:28 2025"
393.682,"Thu Jun  5 23:52:28 2025"
372.166,"Thu Jun  5 23:52:28 2025"
374.278,"Thu Jun  5 23:52:28 2025"
520.822,"Thu Jun  5 23:52:28 2025"
